SPI DEA,NPI,SPI First Name,SPI Last Name,SPI Location Name,SPI Address Line 1,SPI Address Line 2,SPI City,SPI State,SPI Zip,SPI Phone,SPI Fax,Meditab Id
BC8218542,1497755060,Damon,Coyle,FAA Campbellsville,111 Wild Flower,DrSuite A,Campbellsville,KY,42718,2704693408,2704691349,170024
BC8218542,1497755060,Damon,Coyle,FAA Corbin,1 Trillium way,,Corbin,KY,40701,8592631900,8592632726,170024
BC8218542,1497755060,Damon,Coyle,FAA Florence,5001 Houston Rd,,Florence,KY,41042,8599807180,8599807182,170024
BC8218542,1497755060,Damon,Coyle,FAA Jeffersonville,1701 Spring St,Suite B,Jeffersonville,KY,47130,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,FAA LaGrange,1208 Market St ,,LaGrange,KY,40031,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,FAA Lebanon,325 W Walnut St,Suite 200,Lebanon,KY,40033,2704693408,2704699033,170024
BC8218542,1497755060,Damon,Coyle,FAA Lexington,3292 Eagle View Ln,Ste 150,Lexington,KY,40509,8592631900,8592632726,170024
BC8218542,1497755060,Damon,Coyle,FAA Louisville 500,500 W Jefferson St,Ste 160,Louisville,KY,40202,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,Blue Grass Medical Center,1700 Bluegrass Ave,Suite 400,Louisville,KY,40215,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,FAA Louisville 8109,8109 Bradstown Rd,,Louisville,KY,40291,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,FAA Louisville 9805,9805 Brownsboro Rd,,Louisville,KY,40241,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,FAA Madison,508 North Broadway,,Madison,IN,47250,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,South Creek Medical Center ,1 South Creek Dr Ste 102,,Monticello,KY,42633,6064510239,6064519640,170024
BC8218542,1497755060,Damon,Coyle,FAA Newalbany,303 Charlestown Crossing way ,Suite D,NewAlbany,IN,47150,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,FAA Paducah,2312 Kentucky Ave,,Paducah,KY,42003,2704425151,2704421424,170024
BC8218542,1497755060,Damon,Coyle,FAA Shelbyville,Village Plaza Shopping center,Suite 15 A ,Shelbyville,KY,40065,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,FAA Shepherdsville,1578 High way 44,Suite 8,Shepherdsville,KY,40165,5024298585,5024296157,170024
BC8218542,1497755060,Damon,Coyle,FAA Somerset,971 South Hwy 27,,Somerset,KY,42501,6064510239,6064519640,170024
,1588796767,Dana,Killman,FAA Campbellsville,111 Wild Flower,DrSuite A,Campbellsville,KY,42718,2704693408,2704691349,170024
,1588796767,Dana,Killman,FAA Corbin,1 Trillium way,,Corbin,KY,40701,8592631900,8592632726,170024
,1588796767,Dana,Killman,FAA Florence,5001 Houston Rd,,Florence,KY,41042,8599807180,8599807182,170024
,1588796767,Dana,Killman,FAA Jeffersonville,1701 Spring St,Suite B,Jeffersonville,KY,47130,5024298585,5024296157,170024
,1588796767,Dana,Killman,FAA LaGrange,1208 Market St ,,LaGrange,KY,40031,5024298585,5024296157,170024
,1588796767,Dana,Killman,FAA Lebanon,325 W Walnut St,Suite 200,Lebanon,KY,40033,2704693408,2704699033,170024
,1588796767,Dana,Killman,FAA Lexington,3292 Eagle View Ln,Ste 150,Lexington,KY,40509,8592631900,8592632726,170024
,1588796767,Dana,Killman,FAA Louisville 500,500 W Jefferson St,Ste 160,Louisville,KY,40202,5024298585,5024296157,170024
,1588796767,Dana,Killman,Blue Grass Medical Center,1700 Bluegrass Ave,Suite 400,Louisville,KY,40215,5024298585,5024296157,170024
,1588796767,Dana,Killman,FAA Louisville 8109,8109 Bradstown Rd,,Louisville,KY,40291,5024298585,5024296157,170024
,1588796767,Dana,Killman,FAA Louisville 9805,9805 Brownsboro Rd,,Louisville,KY,40241,5024298585,5024296157,170024
,1588796767,Dana,Killman,FAA Madison,508 North Broadway,,Madison,IN,47250,5024298585,5024296157,170024
,1588796767,Dana,Killman,South Creek Medical Center ,1 South Creek Dr Ste 102,,Monticello,KY,42633,6064510239,6064519640,170024
,1588796767,Dana,Killman,FAA Newalbany,303 Charlestown Crossing way ,Suite D,NewAlbany,IN,47150,5024298585,5024296157,170024
,1588796767,Dana,Killman,FAA Paducah,2312 Kentucky Ave,,Paducah,KY,42003,2704425151,2704421424,170024
,1588796767,Dana,Killman,FAA Shelbyville,Village Plaza Shopping center,Suite 15 A ,Shelbyville,KY,40065,5024298585,5024296157,170024
,1588796767,Dana,Killman,FAA Shepherdsville,1578 High way 44,Suite 8,Shepherdsville,KY,40165,5024298585,5024296157,170024
,1588796767,Dana,Killman,FAA Somerset,971 South Hwy 27,,Somerset,KY,42501,6064510239,6064519640,170024
MS1495161,1306846803,Deidra,Sanders,FAA Campbellsville,111 Wild Flower,DrSuite A,Campbellsville,KY,42718,2704693408,2704691349,170024
MS1495161,1306846803,Deidra,Sanders,FAA Corbin,1 Trillium way,,Corbin,KY,40701,8592631900,8592632726,170024
MS1495161,1306846803,Deidra,Sanders,FAA Florence,5001 Houston Rd,,Florence,KY,41042,8599807180,8599807182,170024
MS1495161,1306846803,Deidra,Sanders,FAA Jeffersonville,1701 Spring St,Suite B,Jeffersonville,KY,47130,5024298585,5024296157,170024
MS1495161,1306846803,Deidra,Sanders,FAA LaGrange,1208 Market St ,,LaGrange,KY,40031,5024298585,5024296157,170024
MS1495161,1306846803,Deidra,Sanders,FAA Lebanon,325 W Walnut St,Suite 200,Lebanon,KY,40033,2704693408,2704699033,170024
MS1495161,1306846803,Deidra,Sanders,FAA Lexington,3292 Eagle View Ln,Ste 150,Lexington,KY,40509,8592631900,8592632726,170024
